RESERVED;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
ABE;;;1Win;2Win;3Win;;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
APX;;;1Win;2Win;3Win;;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;;1Solaris;;6Linux;7Linux;8Linux;
CCE;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
CEL;;;;2Win;;;5Win;;;;1Linux;2Linux;;4Linux;;;;;;;
CLA;;;1Win;2Win;3Win;;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
DBO;;;1Win;2Win;3Win;;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;;1Solaris;2Solaris;6Linux;7Linux;8Linux;
DBU;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
DEV;;;1Win;2Win;3Win;x;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
EDA;;;1Win;2Win;3Win;;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
GWM;;;1Win;2Win;3Win;;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
INM;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
INS;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
JBP;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;;;5Linux;;;;;;1Mac
LIC;;;1Win;2Win;3Win;;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
LJP;;;;;;;5Win;;;;1Linux;2Linux;;;;;;;;;
MAG;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
MAP;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
MAT;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
MFC;;;1Win;2Win;3Win;;5Win;6Win;7Win;8Win;;;;;;;;;;;
MSC;;;1Win;2Win;3Win;;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
MWS;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
NSR;;;1Win;2Win;3Win;;5Win;6Win;7Win;8Win;;;;;;;;;;;
NUM;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
NUM;;;1Win;2Win;3Win;;5Win;6Win;7Win;8Win;1Linux;2Linux;;4Linux;;;;;;;1Mac
ODE;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
PAD;;;;2Win;3Win;;5Win;6Win;7Win;8Win;1Linux;2Linux;;4Linux;;;;;;;
PAF;;;;2Win;3Win;;5Win;6Win;7Win;8Win;1Linux;2Linux;;4Linux;;;;;;;
PAM;;;;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;;4Linux;5Linux;;;;;;
PIE;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
PLS;;;1Win;2Win;3Win;;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;;1Solaris;2Solaris;6Linux;7Linux;8Linux;
SBP;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
SPM;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
TAB;;;1Win;2Win;;4Win;5Win;;;8Win;1Linux;2Linux;3Linux;4Linux;;1Solaris;2Solaris;6Linux;7Linux;8Linux;
TCE;;;;2Win;;;5Win;;;;1Linux;2Linux;;4Linux;;;;;;;
TDB;;;1Win;2Win;;;5Win;;;;1Linux;2Linux;;4Linux;;;;;;;
OTN;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
WDA;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
WDY;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;1Mac
WID;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
WMI;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
WMK;;;1Win;2Win;3Win;;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;;1Solaris;2Solaris;6Linux;7Linux;8Linux;
WMN;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
WMO;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
WOB;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
WOK;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
WPE;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
WSR;;;1Win;2Win;;;5Win;;7Win;8Win;1Linux;2Linux;;;;;;;;;
WST;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
WTN;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
WWW;;;1Win;2Win;;;5Win;;7Win;8Win;1Linux;2Linux;;;;;;;;;1Mac
YAI;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
YAP;;;1Win;2Win;3Win;4Win;5Win;6Win;;8Win;1Linux;2Linux;;4Linux;5Linux;;;;;;
ZAD;;;1Win;;3Win;;;;7Win;8Win;;2Linux;;4Linux;;;;;;;1Mac
ZIS;;;1Win;;3Win;;;;7Win;8Win;;2Linux;;4Linux;;;;;;;1Mac
ZUP;;;1Win;;3Win;;;6Win;7Win;8Win;;2Linux;;4Linux;;;;;;;1Mac
A11;;;;;;;;;7Win;;;;;;;;;;;;
A12;;;;;;;;;7Win;8Win;;;;;;;;;;;
A13;;;;;;;;;7Win;8Win;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
A14;;;;;;;;;;;;;;;;;;;;;
A15;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
TNS;;;1Win;2Win;3Win;4Win;5Win;6Win;7Win;8Win;1Linux;2Linux;3Linux;4Linux;5Linux;1Solaris;2Solaris;6Linux;7Linux;8Linux;
